**文部科学省のサイトより**
米国における次世代インターネット研究プロジェクトInternet2の基盤となるネットワーク。（参照：Internet2）,Abilene
欧州全体の研究用ネットワークの構築・運営を行うDANTE（Delivery of Advanced Network Technology to Europe）が推進する、南米地域での研究用ネットワークの発展のため、欧州と南米地域をネットワークで接続する取組み。,ALICE
コンピュータで特定の仕事を行うためのソフトウェアのこと。（例：ワープロソフト、表計算ソフトなど）,アプリケーション（Application）
bits per secondの略で、通信回線のデータ転送速度を表す。,bps
光ファイバーやCATVなどによって実現される高速・超高速通信を可能とする回線のこと。,ブロードバンド（Broadband）
複数のコンピュータを利用して計算処理を行う環境のこと。,分散環境
コンピュータに侵入して画面表示を混乱させたり、保存されているデータを破損させる等の被害を与えるプログラム。,コンピュータウイルス（Computer virus）
デジタルデータによって作成された文章、音楽、画像等のこと。,コンテンツ（Contents）
コンピュータ等に不正なデータを送信して使用不能に陥らせたり、相手のネットワークを麻痺させること。Denial of Serviceの略。,DoS
欧州の産・学の研究者が所在地に関係なく計算機資源を使えるよう、安全かつ安定したグリッドネットワークの構築、サービスの提供のためのミドルウェアの開発、高レベルの訓練、あるいはサポート体制による利用者の拡大等を行うDANTE（Delivery of Advanced Network Technology to Europe：欧州全体の研究用ネットワークの構築・運営を行う組織）のプロジェクト。,EGEE（Enabling Grids for E-science in Europe）
コンピュータやネットワークを活用して教育を行うこと。,e-Learning
LAN規格の一つ。広く普及しているネットワークシステムとして標準化されている。,イーサネット（Ethernet）
欧州全体の研究用ネットワークの構築・運営を行うDANTE（Delivery of Advanced Network Technology to Europe）が推進する、地中海沿岸地域の研究用ネットワークの規模と範囲を拡大し、より高次の研究協力を促進し、地中海沿岸地域でのインターネットの発展に資することを目的とし、欧州と地中海沿岸地域をネットワークで接続する取組み。,EUMEDCONNECT
欧州共同体加盟国の研究者による共同研究を支援する5ヵ年プログラムのこと。欧州委員会が中心となり重点分野を定めている。,フレームワークプログラム
ヨーロッパ全体にわたる研究用ネットワークを強化することを目的とし、国立教育研究機関のネットワークであるNRENs、欧州委員会及びヨーロッパ全体の研究用ネットワークの構築・運営を行うDANTE（Delivery of Advanced Network Technology to Europe：欧州全体の研究用ネットワークの構築・運営を行う組織）の共同により構築されたネットワーク。GEANTの展開を受け、研究用ネットワークのさらなる強化のため、2005年6月よりGEANT2が開始されている。,GEANT
ネットワークを介して複数のコンピュータを結ぶことで仮想的に高性能コンピュータをつくり、利用者はそこから必要なだけ処理能力や記憶容量を取り出して使うシステム。,グリッド・コンピューティング（Grid computing）
コンピュータ等の使用方法やトラブル時の対処法などに関する問い合わせに対応する部門のこと。,ヘルプデスク
単体のスーパーコンピュータや分散型システム、それらを動かすソフトウェア等を含めた、高度の大規模計算環境を指す幅広い概念のこと。,ハイ・パフォーマンス・コンピューティング（High Performance Computing：HPC）
管理者が気づかないうちに第三者に乗っ取られ、不正アクセス等の中継地点に利用されているコンピュータ。,踏み台
正規のアクセス権を持たない人が、ソフトウェアやOSの不具合などを悪用してアクセス権を取得し、不正にコンピュータを利用したり、利用を試みること。,不正アクセス
インフラストラクチャー（infrastructure）の略。社会的生産基盤。ダム・道路・港湾・発電所・通信施設などの産業基盤、および学校・病院・公園などの社会福祉・環境施設がこれに該当する。,インフラ
米国科学財団（NSF）が出資している次世代インターネットの研究プロジェクト。大学間組織のUCAIDが推進しており、全米の208大学が加盟している。,Internet2
IP（インターネットプロトコル）技術を利用した電話サービスのこと。,IP電話（IP phone）
産・学・官・地域などと連携し、次世代のネットワーク関連技術の一層の高度化や多彩なアプリケーションの開発など、基礎的・基盤的な研究開発から実証実験まで推進することを目的とし、独立行政法人情報通信研究機構（NICT）が運用する研究開発用テストベッドネットワーク。全国規模のIPネットワーク、光波長ネットワーク、光テストベッドの研究開発環境を提供。,JGN2
「最先端・高性能汎用スーパーコンピュータの開発利用」プロジェクトにおいて開発されるスーパーコンピュータの通称。,次世代スーパーコンピュータ
情報セキュリティに関する基本方針。情報の目的外利用や外部からの侵入、機密漏洩などを防止するための方針を定めたもの。広義には、セキュリティ対策基準や個別具体的な実施手順などを含む場合もある。,情報セキュリティポリシー
同じ建物等の中にあるコンピュータやプリンタなどを接続することにより構成されたネットワークのこと。,LAN（Local Area Network）
農林水産省研究ネットワーク。全国の農林水産研究に関わる国立及び独立行政法人の研究機関を接続している。,Maffin
企業の基幹業務システムなどに用いられる汎用大型コンピュータのこと。データの処理や保存はすべて中央コンピュータが行なっており、利用者はネットワークを通じて接続された端末により中央コンピュータを利用する。,メインフレーム（Mainframe）
インターネット等のネットワークを利用してデータのやり取りやサービスの授受を行う際、相手方が真にその名義人であるか、内容が改ざんされていないかを相互に保証するための仕組み。我が国では、電子政府構想の一環として政府認証基盤や地方自治体組織認証基盤などがある。ここでは特に、大学等の間の電子メールのやり取りにおける電子署名・暗号化をはじめ、他大学等の計算機資源の利用者の認証や大学間の単位互換等に応用される機関認証などを念頭においている。,認証基盤
平成18年度から開始されることとなっている文部科学省のプロジェクト。理論、実験と並び、現代の科学技術の方法として確固たる地位を築きつつあるスーパーコンピューティングについて、今後とも我が国が科学技術・学術の分野で世界をリードしつづけるとともに、これにより開発される技術は、将来の多くの先端分野での利用が期待されている。,「最先端・高性能汎用スーパーコンピュータの開発利用」プロジェクト
ネットワークに接続されているコンピュータに対し、特定の機能やデータを提供するために設けられているコンピュータのこと。インターネットにおけるWWWサーバ、電子メールを行うためのメールサーバなどがある。,サーバ
日本全国の大学、研究機関等の学術情報基盤として構築・運用されているネットワーク。国立情報学研究所が運営している。（参照：スーパーSINET）,SINET
ユーザーのニーズに最大限に応えるソフトウェアの仕様と基本設計を明確にする業務を行う人材。,ソフトウェアアーキテクト（Software architect）
データやプログラムを記憶する装置。,ストレージ（Storage）
大規模な科学技術計算に用いられる超高性能コンピュータ。行列計算などの繰り返し演算を高速化するため、ベクトルプロセッサと呼ばれる演算装置を用いる方式が主流であった。近年では、パソコンなどのマイクロプロセッサの飛躍的な性能向上と低価格化により、多数のマイクロプロセッサを接続して並列に演算を行う方式が増えている。,スーパーコンピュータ（Supercomputer）
世界最先端クラスの性能と速度を誇る研究用情報ネットワーク。平成14年1月より国立情報学研究所が運営している。（参照：SINET）,スーパーSINET
コンピュータシミュレーションにより水や空気の流れの解析等を行う学問。,数値流体力学
欧州全体の研究用ネットワークの構築・運営を行うDANTE（Delivery of Advanced Network Technology to Europe）が推進する、欧州-アジア間での教育研究用ネットワークの接続性を高めること、アジア地域内のネットワーク接続性を改善すること、アジア太平洋地域の国々の研究用ネットワークの発展のきっかけとなることを目的とし、欧州とアジア地域をネットワークで接続する取り組み。,TEIN2
恒星の光度・スペクトルなどから大気の組成や温度・圧力などを導き、物理学の諸法則から内部構造や、恒星・宇宙の進化などを研究する学問。,天体物理学
米国全土の科学者が光ネットワークによりコンピューティング・リソースを共有するため、米国内のスーパーコンピュータを接続するグリッドネットワークのこと。全米科学財団（NSF）が出資している。,TeraGrid
技術の実運用のための実験・検証・評価を行う場のこと。,テストベッド（Testbed）
生活や社会のいたるところで、自由に安心して利用できるネットワーク環境のこと。,ユビキタスネットワーク
コンピュータにおけるユーザーへの情報表示様式や、ユーザーのデータ入力方式を規定したもの。,ユーザーインタフェース
パソコンより高性能なコンピュータで、高速な演算処理能力と大きな記憶容量をもち、画像処理のための高解像度ディスプレーやネットワーク接続機能等を備えている。,ワークステーション（Workstation）
欧州合同素粒子原子核研究機構（CERN）で開発された、インターネット等で提供されるドキュメントシステムのこと。,World Wide Web
デジタル化された地図のデータと、地図上の位置に関わる統計データ等の属性情報を関連づけて統合的に扱う情報システム,GIS
インターネットを構成する通信機器が共通に使用する通信プロトコル,IP
増加するインターネットの使用者に対応するため、現在のIP（IPv4）に代わるものとして準備が進められてきたプロトコルIPアドレスの128ビット化等が含まれる,IPv6
情報技術を用いて、人と車両等と道路を結ぶことにより、道路交通問題の解決、関連した制御・管理を容易にする新しい交通システム,ITS
ネットワークに接続された複数の機器が、互いに対等な立場で通信を行うシステム形態,P2P
陽電子を放出する同位体で標識された薬剤を注射し、その体内分布を特殊なカメラで映像化する診断法,PET
Webブラウザを通じて処理要求を受け、処理を行うシステムへの橋渡しの役割を担うアプリケーション。,Webアプリケーション
機械語やその機械語の組を「その動作を連想させるような英数字列」で表し、またアドレスも同様に英数字列で指定できる言語。,アセンブリ（assembly）言語
予め経路が定められていないネットワーク。移動体端末が、即席で形成する自律分散型のネットワーク。,アドホックネットワーク（ad hoc network）
的確にユーザの状況を理解し、最適な環境を提供する情報ネットワーク環境。,アンビエントネットワーク（ambient network）
利用者、その他の対象物の位置情報の検知と、検知した位置情報と地図情報等の他の情報の照合。,位置情報センシング（sensing）・マッチング（matching）
遺伝子（DNA）によって転写されたRNAのこと。,遺伝子転写物
万人のニーズに対応する包括的なデザイン。,インクルーシブデザイン（inclusive design）
複数のノードで構成される並列計算機における、ノード間を接続するネットワークのこと。,インターコネクション（interconnection）
システムから利用者への一方的な情報提供だけでなく、利用者からシステムへ細かな要求が可能となる等、双方向的、対話的なインタフェース。,インタラクティブインタフェース（interactive interface）
ウェアラブルは、「身に付けることが出来る」の意味。眼鏡型のディスプレイ、イヤホン型の無線端末等、身に付けられる情報通信機器。,ウェアラブル（wearable）情報機器
衛星の機能を維持するために必要な基本的機器で、構体、電源、テレメトリ・コマンド、熱制御、姿勢制御、推進などの各サブシステムからなる。,衛星バス（bus）技術
環境情報、経験を知識化し人間の感覚や情報処理の仕組みに適応した、自然な形で利活用する技術のこと。,エンハンストヒューマンインタフェース（enhanced human interface）
プログラムの関数や式が持つ型に関する理論。型同士の整合性を検査することによって、プログラムが正しく記述されていることや、安全に動作することの検証が可能である。,型理論
大学等の学術機関で生産された知的生産物を保存・公開することを目的とした電子アーカイブシステム。,機関リポジトリ（repository）
乱数列のように見えるが、実際には確定的な計算によって求めている数列に含まれる数。,擬似乱数
広い範囲に存在する複数のコンピュータをネットワークで接続し、強力な計算パワーを提供する。,グリッドコンピューティング（grid computing）
個人情報を管理するエージェント。他のユーザのエージェントと自律的に協調動作することで高度なサービスを提供する。,個人エージェント（agent）
環境や状況といったユーザを取り巻く情報をコンテクストとし、そのコンテクストに気づく（アウェアする）ことで、ユーザの目標としているタスクに最適な情報やサービスを提供する。,コンテキストアウェアネス（context awareness）
グリッドコンピューティング（前出）で、大規模な計算や多数の小規模計算を処理するための環境。,コンピューティンググリッド（computing grid）
設計者とユーザが共同でデザインを行うこと。利用者の立場に立った製品を設計することが可能になる。,参加型デザイン
他からの制御なしに自分自身で組織や構造をつくり出すこと。,自己組織化
一つのシステムを形成するさまざまな機能を一つのチップの上に実現するLSI。,システムLSI（Large Scale Integration）
人間が活動する世界にコンピュータをとけこませるというアプローチで、計算機が計算機として人の前に現れるのではなく、人間の現実世界での活動の状況に応じてさりげなく支援を行う。,実世界指向インタフェース
未成年者に有害情報を含む情報を提供しない等、利用者のプロフィールを調べ、全体の情報の中から適合するものを選択して示す方法。,情報フィルタリング（filtering）
瞬間的に非常に大きな量のエネルギーを生むことが出来る電気のストレージ・デバイス。,スーパーキャパシタ（super capacitor）
電子のスピンを用いたデバイスのこと。ハードディスクのヘッドやメモリに用いられている。,スピンデバイス（spin device）
組織内のセキュリティに関する基本方針。,セキュリティポリシー（security policy）
常温・常圧の穏やかな条件で生成される柔らかいナノ材料に関する分野。タンパク質、多糖、核酸等と数少ないが、それらがいろいろな形に組織化して多種多様な機能を示す。,ソフトナノ（soft nano）
信頼性、保全性及び安全性を保有するオペレーティングシステム。,ディペンダブルオペレーティングシステム（dependable operating system）
コンピュータを使って製品の設計を行うこと。製品開発のスピードアップ、正確性、低コストを達成することが可能になる。,デジタルエンジニアリング（digital engineering）
電子化されコンピュータで取り扱うことができる文書群。,デジタルライブラリ（digital library）
グリッドコンピューティング（前出）で、データの標準化・共有等、取り扱われるデータに特に着目した研究。,データグリッド（data grid）
大量のデータを解析し、データ項目間の関係、パターン等、利用者にとって判りやすく有用な知識を抽出する技術。,データマイニング（data mining）
高度な情報処理を行うことにより、人間に機器（コンピュータ）を使っていることを意識させずに扱うことを可能にするインタフェース。,知的インタフェース
数ミリ程度のICチップと、データを送受信するためのアンテナを内蔵したタグのこと。ICチップには、モノを識別するための情報などを格納でき、無線を使って読み出すことができる。,電子タグ
ナノメートルサイズの幅の鎖。,ナノワイヤー（nano wire）
生命科学に情報科学的な視点や概念を導入した研究分野。,バイオインフォマティクス（bioinformatics）
産業活力再生特別措置法第30条にある公費研究成果の取り扱いに関する条項の通称。国が技術に関する研究活動を活性化し、その成果を事業活動において効率的に活用することを促進する観点から、国が委託した研究成果（特許権等）について、民間企業等に移管することを認めている。,バイドール（Bayh-Dole）
高い温度や質の良い真空を用いて生成されるナノ材料に関する分野。半導体・金属・セラミックス・高分子などがある。,ハードナノ（hard nano）
