**文部科学省のサイトより**
education1	米国における次世代インターネット研究プロジェクトInternet2の基盤となるネットワークを何というでしょう？	Abilene
education2	欧州全体の研究用ネットワークの構築・運営を行うDANTE（Delivery of Advanced Network Technology to Europe）が推進する、南米地域での研究用ネットワークの発展のため、欧州と南米地域をネットワークで接続する取組みを何というでしょう？	ALICE
education3	コンピュータで特定の仕事を行うためのソフトウェアのことを何というでしょう？	アプリケーション（Application）
education4	通信回線のデータ転送速度を表す単位を何というでしょう？	bps
education5	光ファイバーやCATVなどによって実現される高速・超高速通信を可能とする回線のことを何というでしょう？	ブロードバンド（Broadband）
education6	複数のコンピュータを利用して計算処理を行う環境のことを何というでしょう？	分散環境
education7	コンピュータに侵入して画面表示を混乱させたり、保存されているデータを破損させる等の被害を与えるプログラムを何というでしょう？	コンピュータウイルス（Computer virus）
education8	デジタルデータによって作成された文章、音楽、画像等のことを何というでしょう？	コンテンツ（Contents）
education9	コンピュータ等に不正なデータを送信して使用不能に陥らせたり、相手のネットワークを麻痺させることを何というでしょう？	DoS
education10	欧州の産・学の研究者が所在地に関係なく計算機資源を使えるよう、安全かつ安定したグリッドネットワークの構築、サービスの提供のためのミドルウェアの開発、高レベルの訓練、あるいはサポート体制による利用者の拡大等を行うDANTE（Delivery of Advanced Network Technology to Europe：欧州全体の研究用ネットワークの構築・運営を行う組織）のプロジェクトを何というでしょう？	EGEE（Enabling Grids for E-science in Europe）
education11	コンピュータやネットワークを活用して教育を行うことを何というでしょう？	e-Learning
education12	広く普及しているネットワークシステムとして標準化されているLAN規格の一つを何というでしょう？	イーサネット（Ethernet）
education13	欧州全体の研究用ネットワークの構築・運営を行うDANTE（Delivery of Advanced Network Technology to Europe）が推進する、地中海沿岸地域の研究用ネットワークの規模と範囲を拡大し、より高次の研究協力を促進し、地中海沿岸地域でのインターネットの発展に資することを目的とし、欧州と地中海沿岸地域をネットワークで接続する取組みを何というでしょう？	EUMEDCONNECT
education14	欧州共同体加盟国の研究者による共同研究を支援する5ヵ年プログラムのことを何というでしょう？	フレームワークプログラム
education15	ヨーロッパ全体にわたる研究用ネットワークを強化することを目的とし、国立教育研究機関のネットワークであるNRENs、欧州委員会及びヨーロッパ全体の研究用ネットワークの構築・運営を行うDANTE（Delivery of Advanced Network Technology to Europe：欧州全体の研究用ネットワークの構築・運営を行う組織）の共同により構築されたネットワークを何というでしょう？	GEANT
education16	ネットワークを介して複数のコンピュータを結ぶことで仮想的に高性能コンピュータをつくり、利用者はそこから必要なだけ処理能力や記憶容量を取り出して使うシステムを何というでしょう？	グリッド・コンピューティング（Grid computing）
education17	コンピュータ等の使用方法やトラブル時の対処法などに関する問い合わせに対応する部門のことを何というでしょう？	ヘルプデスク
education18	単体のスーパーコンピュータや分散型システム、それらを動かすソフトウェア等を含めた、高度の大規模計算環境を指す幅広い概念のことを何というでしょう？	ハイ・パフォーマンス・コンピューティング（High Performance Computing：HPC）
