soumu1	コンピュータ上で操作する対象を表現した小さな図やイラストのことを何というか。	アイコン	アイコン
soumu2	コンピュータやソフトウェア、ネットワークなどを使用するための権利や資格のことを何というか。	アカウント	アカウント
soumu3	OSやソフトウェアの一部または全部のプログラムを更新することを何というか。	アップデート	アップデート
soumu4	自分のコンピュータから、ネットワーク上のWebサーバやFTPサーバなどにファイルを保存することを何というか。	アップロード	アップロード
soumu5	コンピュータやネットワーク、データベースの管理者、または管理する権限のことを何というか。	アドミニストレータ	アドミニストレータ
soumu6	無線LANのクライアント同士が、アクセスポイントを介さず、直接通信を行う通信方式のことを何というか。	アドホックモード	アドホックモード
soumu7	ファイル名のピリオド以降に指定されている文字列を何というか。	拡張子	カクチョウシ
soumu8	データを一時的にメモリやディスク上の領域に格納して、次回のWebサイトへのアクセスの際にサーバにアクセスすることなく表示できる複製されたデータのことを何というか。	キャッシュ	キャッシュ
soumu9	暗号化と復号で同じ鍵を使用する暗号方式のことを何というか。	共通鍵暗号方式	キョウツウカギアンゴウホウシキ
soumu10	複数の利用者がアクセスできるように設定したコンピュータ上のディスク領域のことを何というか。	共有フォルダ	キョウユウフォルダ
soumu11	ネットワーク上で情報やサービスを利用するコンピュータのことを何というか。	クライアント	クライアント
soumu12	インターネット上のネットワーク、サーバ、ストレージ、アプリケーション、サービスなどを共有化して、サービス提供事業者が、利用者に容易に利用可能とするモデルのことを何というか。	クラウドコンピューティング	クラウドコンピューティング
soumu13	悪意を持って、システムに不正侵入したり、データの改ざんや破壊などを行ったりする人のことを何というか。	クラッカー	クラッカー
soumu14	インターネットにおいて、全世界で固有の番号を持つIPアドレスのことを何というか。	グローバル・アイ・ピー・アドレス	グローバル・アイ・ピー・アドレス
soumu15	暗号化と復号とで異なる鍵を使用する暗号方式のことを何というかを何というか。	公開鍵暗号方式	コウカイカギアンゴウホウシキ
soumu16	個人の権利と利益を保護するために、2005年4月から施行された法律を何というか。	個人情報保護法	コジンジョウホウホゴホウ
soumu17	ネットワーク上で情報やサービスを提供するコンピュータのことを何というか。	サーバ	サーバ
soumu18	SSL(TLS)を用いて、利用者がアクセスしているサーバが「本物」であることを保証する電子的な証明書のことを何というか。	サーバ証明書	サーバショウメイショ
soumu19	マイクロソフト社がWindowsやOffice アプリケーション用に提供するひとまとまりの更新プログラムのことを何というか。	サービスパック	サービスパック
